s0;s1;s2;s3;s4
4273;4153;3851;3990;4338;
4273;4153;3851;3990;4338;
4134;3983;3671;3845;4186;
4134;3983;3671;3845;4186;
4063;3890;3643;3769;4103;
4063;3890;3643;3769;4103;
4063;3890;3643;3769;4103;
4232;4085;3849;3930;4284;
4232;4085;3849;3930;4284;
4232;4085;3849;3930;4284;
4292;4169;3869;4004;4354;
4292;4169;3869;4004;4354;
4292;4169;3869;4004;4354;
4153;4001;3691;3867;4197;
4153;4001;3691;3867;4197;
4073;3897;3648;3773;4112;
4073;3897;3648;3773;4112;
4073;3897;3648;3773;4112;
4208;4050;3830;3908;4255;
4208;4050;3830;3908;4255;
4208;4050;3830;3908;4255;
4298;4172;3876;4008;4360;
4298;4172;3876;4008;4360;
4174;4022;3698;3886;4221;
4174;4022;3698;3886;4221;
4174;4022;3698;3886;4221;
4081;3908;3653;3783;4118;
4081;3908;3653;3783;4118;
4081;3908;3653;3783;4118;
4194;4026;3810;3886;4240;
4194;4026;3810;3886;4240;
4296;4175;3898;4012;4364;
4296;4175;3898;4012;4364;
4296;4175;3898;4012;4364;
4194;4042;3730;3905;4240;
4194;4042;3730;3905;4240;
4194;4042;3730;3905;4240;
4084;3911;3644;3786;4129;
4084;3911;3644;3786;4129;
4163;4003;3778;3871;4213;
4163;4003;3778;3871;4213;
4163;4003;3778;3871;4213;
4298;4172;3895;4004;4365;
4298;4172;3895;4004;4365;
4298;4172;3895;4004;4365;
4207;4064;3735;3921;4261;
4207;4064;3735;3921;4261;
4207;4064;3735;3921;4261;
4091;3924;3657;3799;4137;
4091;3924;3657;3799;4137;
4145;3986;3756;3851;4197;
4145;3986;3756;3851;4197;
4145;3986;3756;3851;4197;
4295;4168;3904;4000;4362;
4295;4168;3904;4000;4362;
4295;4168;3904;4000;4362;
4226;4086;3759;3939;4274;
4226;4086;3759;3939;4274;
4097;3926;3648;3795;4150;
4097;3926;3648;3795;4150;
4097;3926;3648;3795;4150;
4125;3949;3729;3820;4174;
4125;3949;3729;3820;4174;
4125;3949;3729;3820;4174;
4290;4161;3895;3994;4354;
4290;4161;3895;3994;4354;
4290;4161;3895;3994;4354;
4239;4106;3789;3953;4292;
4239;4106;3789;3953;4292;
4106;3939;3653;3813;4150;
4106;3939;3653;3813;4150;
4106;3939;3653;3813;4150;
4106;3944;3721;3810;4165;
4106;3944;3721;3810;4165;
4106;3944;3721;3810;4165;
4276;4143;3891;3990;4342;
4276;4143;3891;3990;4342;
4258;4123;3807;3967;4315;
4258;4123;3807;3967;4315;
4258;4123;3807;3967;4315;
4107;3947;3653;3817;4152;
4107;3947;3653;3817;4152;
4107;3947;3653;3817;4152;
4089;3908;3685;3792;4134;
4089;3908;3685;3792;4134;
4270;4128;3886;3975;4335;
4270;4128;3886;3975;4335;
4270;4128;3886;3975;4335;
4264;4136;3822;3980;4316;
4264;4136;3822;3980;4316;
4123;3960;3662;3824;4164;
4123;3960;3662;3824;4164;
4123;3960;3662;3824;4164;
4075;3905;3669;3780;4123;
4075;3905;3669;3780;4123;
4075;3905;3669;3780;4123;
4250;4120;3881;3964;4319;
4250;4120;3881;3964;4319;
4281;4147;3840;3993;4341;
4281;4147;3840;3993;4341;
4281;4147;3840;3993;4341;
4128;3969;3659;3834;4176;
4128;3969;3659;3834;4176;
4128;3969;3659;3834;4176;
4070;3884;3654;3770;4116;
4070;3884;3654;3770;4116;
4070;3884;3654;3770;4116;
4242;4091;3864;3945;4301;
4242;4091;3864;3945;4301;
4281;4151;3855;3990;4346;
4281;4151;3855;3990;4346;
4281;4151;3855;3990;4346;
4145;3983;3672;3851;4188;
4145;3983;3672;3851;4188;
4069;3889;3647;3771;4110;
4069;3889;3647;3771;4110;
4069;3889;3647;3771;4110;
4225;4077;3854;3926;4281;
4225;4077;3854;3926;4281;
4225;4077;3854;3926;4281;
4287;4167;3867;4002;4354;
4287;4167;3867;4002;4354;
4157;4001;3680;3866;4200;
4157;4001;3680;3866;4200;
4157;4001;3680;3866;4200;
4072;3892;3647;3773;4118;
4072;3892;3647;3773;4118;
4072;3892;3647;3773;4118;
4202;4052;3820;3905;4261;
4202;4052;3820;3905;4261;
4202;4052;3820;3905;4261;
4284;4169;3884;4010;4355;
4284;4169;3884;4010;4355;
4170;4017;3698;3880;4215;
4170;4017;3698;3880;4215;
4170;4017;3698;3880;4215;
4077;3901;3647;3777;4122;
4077;3901;3647;3777;4122;
4077;3901;3647;3777;4122;
4183;4033;3804;3891;4242;
4183;4033;3804;3891;4242;
4296;4177;3888;4011;4369;
4296;4177;3888;4011;4369;
4296;4177;3888;4011;4369;
4192;4041;3720;3900;4238;
4192;4041;3720;3900;4238;
4192;4041;3720;3900;4238;
4078;3917;3652;3788;4125;
4078;3917;3652;3788;4125;
4169;4005;3781;3865;4217;
4169;4005;3781;3865;4217;
4169;4005;3781;3865;4217;
4287;4175;3900;4005;4363;
4287;4175;3900;4005;4363;
4202;4064;3733;3922;4256;
4202;4064;3733;3922;4256;
4202;4064;3733;3922;4256;
4089;3921;3649;3791;4131;
4089;3921;3649;3791;4131;
4089;3921;3649;3791;4131;
4147;3974;3747;3842;4194;
4147;3974;3747;3842;4194;
4147;3974;3747;3842;4194;
4287;4163;3895;4002;4349;
4287;4163;3895;4002;4349;
4227;4092;3767;3940;4276;
4227;4092;3767;3940;4276;
4227;4092;3767;3940;4276;
4094;3927;3661;3803;4143;
4094;3927;3661;3803;4143;
4094;3927;3661;3803;4143;
4130;3955;3729;3820;4174;
4130;3955;3729;3820;4174;
4280;4161;3896;3999;4350;
4280;4161;3896;3999;4350;
4280;4161;3896;3999;4350;
4236;4106;3789;3949;4290;
4236;4106;3789;3949;4290;
4236;4106;3789;3949;4290;
4107;3939;3655;3814;4145;
4107;3939;3655;3814;4145;
4110;3940;3707;3807;4155;
4288;4146;3891;3984;4345;
4288;4146;3891;3984;4345;
4288;4146;3891;3984;4345;
4250;4123;3803;3967;4307;
4250;4123;3803;3967;4307;
4108;3943;3660;3816;4158;
4108;3943;3660;3816;4158;
4108;3943;3660;3816;4158;
4099;3922;3685;3790;4144;
4099;3922;3685;3790;4144;
4265;4126;3880;3969;4329;
4265;4126;3880;3969;4329;
4265;4126;3880;3969;4329;
4265;4138;3825;3981;4326;
4265;4138;3825;3981;4326;
4265;4138;3825;3981;4326;
4119;3957;3657;3827;4165;
4119;3957;3657;3827;4165;
4080;3898;3658;3779;4131;
4080;3898;3658;3779;4131;
4080;3898;3658;3779;4131;
4258;4110;3880;3957;4309;
4258;4110;3880;3957;4309;
4258;4110;3880;3957;4309;
4274;4147;3840;3982;4339;
4274;4147;3840;3982;4339;
4274;4147;3840;3982;4339;
