s0;s1;s2;s3;s4
2048;3435;3833;3216;2488;
2048;3435;3833;3216;2488;
2076;3458;3849;3231;2517;
2076;3458;3849;3231;2517;
2076;3458;3849;3231;2517;
1956;3316;3708;3116;2392;
1956;3316;3708;3116;2392;
1901;3267;3665;3078;2342;
1901;3267;3665;3078;2342;
1901;3267;3665;3078;2342;
2014;3393;3787;3184;2455;
2014;3393;3787;3184;2455;
2014;3393;3787;3184;2455;
2090;3470;3863;3243;2531;
2090;3470;3863;3243;2531;
2090;3470;3863;3243;2531;
1992;3366;3736;3150;2425;
1992;3366;3736;3150;2425;
1903;3266;3655;3079;2343;
1903;3266;3655;3079;2343;
1903;3266;3655;3079;2343;
1976;3344;3737;3140;2401;
1976;3344;3737;3140;2401;
1976;3344;3737;3140;2401;
2083;3481;3869;3245;2529;
2083;3481;3869;3245;2529;
2083;3481;3869;3245;2529;
2027;3398;3791;3180;2470;
2027;3398;3791;3180;2470;
1908;3269;3664;3082;2344;
1908;3269;3664;3082;2344;
1908;3269;3664;3082;2344;
1927;3290;3683;3097;2364;
1927;3290;3683;3097;2364;
2083;3469;3857;3236;2523;
2083;3469;3857;3236;2523;
2083;3469;3857;3236;2523;
2056;3431;3819;3209;2501;
2056;3431;3819;3209;2501;
2056;3431;3819;3209;2501;
1925;3286;3680;3091;2359;
1925;3286;3680;3091;2359;
1925;3286;3680;3091;2359;
1904;3266;3661;3077;2345;
1904;3266;3661;3077;2345;
1904;3266;3661;3077;2345;
2056;3427;3823;3204;2497;
2056;3427;3823;3204;2497;
2079;3465;3854;3236;2517;
2079;3465;3854;3236;2517;
1958;3324;3711;3126;2394;
1958;3324;3711;3126;2394;
1958;3324;3711;3126;2394;
1910;3272;3665;3084;2342;
1910;3272;3665;3084;2342;
2004;3381;3778;3173;2433;
2004;3381;3778;3173;2433;
2078;3477;3864;3241;2528;
2078;3477;3864;3241;2528;
2003;3370;3755;3158;2449;
2003;3370;3755;3158;2449;
2003;3370;3755;3158;2449;
1905;3273;3665;3082;2343;
1905;3273;3665;3082;2343;
1905;3273;3665;3082;2343;
1963;3337;3729;3141;2402;
1963;3337;3729;3141;2402;
1963;3337;3729;3141;2402;
2086;3481;3863;3248;2533;
2086;3481;3863;3248;2533;
2035;3410;3799;3187;2474;
2035;3410;3799;3187;2474;
2035;3410;3799;3187;2474;
1909;3273;3667;3086;2345;
1909;3273;3667;3086;2345;
1909;3273;3667;3086;2345;
1910;3277;3671;3088;2355;
1910;3277;3671;3088;2355;
2069;3460;3851;3229;2519;
2069;3460;3851;3229;2519;
2069;3460;3851;3229;2519;
2060;3444;3830;3217;2511;
2060;3444;3830;3217;2511;
2060;3444;3830;3217;2511;
1934;3299;3681;3104;2370;
1934;3299;3681;3104;2370;
1902;3266;3665;3085;2343;
1902;3266;3665;3085;2343;
1902;3266;3665;3085;2343;
2032;3416;3817;3196;2479;
2032;3416;3817;3196;2479;
2032;3416;3817;3196;2479;
2086;3473;3862;3240;2531;
2086;3473;3862;3240;2531;
2086;3473;3862;3240;2531;
1974;3342;3735;3137;2406;
1974;3342;3735;3137;2406;
1906;3267;3657;3082;2342;
1906;3267;3657;3082;2342;
1906;3267;3657;3082;2342;
1992;3367;3764;3162;2426;
1992;3367;3764;3162;2426;
1992;3367;3764;3162;2426;
2087;3481;3869;3249;2538;
2087;3481;3869;3249;2538;
2011;3390;3771;3173;2453;
2011;3390;3771;3173;2453;
2011;3390;3771;3173;2453;
1906;3262;3663;3080;2346;
1906;3262;3663;3080;2346;
1906;3262;3663;3080;2346;
1934;3310;3707;3117;2369;
1934;3310;3707;3117;2369;
2090;3463;3856;3239;2526;
2090;3463;3856;3239;2526;
2090;3463;3856;3239;2526;
2046;3422;3806;3204;2483;
2046;3422;3806;3204;2483;
2046;3422;3806;3204;2483;
1926;3282;3674;3089;2358;
1926;3282;3674;3089;2358;
1926;3282;3674;3089;2358;
1907;3270;3672;3084;2341;
1907;3270;3672;3084;2341;
1907;3270;3672;3084;2341;
2056;3449;3836;3226;2498;
2056;3449;3836;3226;2498;
2073;3455;3848;3228;2515;
2073;3455;3848;3228;2515;
2073;3455;3848;3228;2515;
1946;3312;3698;3112;2382;
1946;3312;3698;3112;2382;
1946;3312;3698;3112;2382;
1907;3266;3660;3082;2340;
1907;3266;3660;3082;2340;
2016;3399;3791;3191;2460;
2016;3399;3791;3191;2460;
2016;3399;3791;3191;2460;
2085;3477;3868;3242;2528;
2085;3477;3868;3242;2528;
2085;3477;3868;3242;2528;
