s1,s2,s3,s4,s5
3939,3621,2672,3277,4367
3939,3621,2672,3277,4367
3970,3510,2704,3445,4412
3970,3510,2704,3445,4412
3970,3510,2704,3445,4412
3940,3331,2775,3600,4400
3940,3331,2775,3600,4400
3940,3331,2775,3600,4400
3912,3218,2841,3650,4378
3912,3218,2841,3650,4378
3888,3141,2905,3701,4335
3888,3141,2905,3701,4335
3888,3141,2905,3701,4335
3955,3236,2867,3677,4369
3955,3236,2867,3677,4369
3955,3236,2867,3677,4369
4053,3416,2776,3570,4379
4053,3416,2776,3570,4379
4123,3606,2731,3441,4395
4123,3606,2731,3441,4395
4123,3606,2731,3441,4395
4140,3761,2723,3327,4384
4140,3761,2723,3327,4384
4140,3761,2723,3327,4384
4149,3891,2752,3241,4387
4149,3891,2752,3241,4387
4144,3920,2755,3222,4377
4144,3920,2755,3222,4377
4144,3920,2755,3222,4377
4142,3854,2741,3277,4399
4142,3854,2741,3277,4399
4142,3854,2741,3277,4399
4137,3652,2741,3448,4429
4137,3652,2741,3448,4429
4137,3652,2741,3448,4429
4130,3565,2785,3567,4435
4130,3565,2785,3567,4435
4121,3475,2825,3641,4433
4121,3475,2825,3641,4433
4121,3475,2825,3641,4433
4105,3410,2874,3695,4431
4105,3410,2874,3695,4431
4105,3410,2874,3695,4431
4037,3300,2901,3713,4403
4037,3300,2901,3713,4403
4037,3300,2901,3713,4403
4042,3315,2896,3713,4406
4042,3315,2896,3713,4406
4124,3445,2854,3672,4427
4124,3445,2854,3672,4427
4124,3445,2854,3672,4427
4194,3584,2819,3601,4437
4194,3584,2819,3601,4437
4194,3584,2819,3601,4437
4268,3771,2787,3491,4442
4268,3771,2787,3491,4442
4268,3771,2787,3491,4442
4280,3764,2800,3498,4440
4280,3764,2800,3498,4440
4314,3727,2790,3497,4410
4314,3727,2790,3497,4410
4314,3727,2790,3497,4410
4317,3684,2764,3454,4329
4317,3684,2764,3454,4329
4317,3684,2764,3454,4329
4349,3665,2704,3334,4121
4349,3665,2704,3334,4121
4349,3665,2704,3334,4121
4394,3764,2696,3291,4078
4394,3764,2696,3291,4078
4406,3785,2698,3289,4074
4406,3785,2698,3289,4074
4406,3785,2698,3289,4074
4395,3773,2703,3300,4081
4395,3773,2703,3300,4081
4395,3773,2703,3300,4081
4373,3733,2727,3365,4175
4373,3733,2727,3365,4175
4261,3633,2775,3503,4379
4261,3633,2775,3503,4379
4261,3633,2775,3503,4379
4153,3585,2804,3598,4455
4153,3585,2804,3598,4455
4153,3585,2804,3598,4455
4071,3554,2841,3679,4510
4071,3554,2841,3679,4510
4071,3554,2841,3679,4510
4046,3544,2866,3745,4524
4046,3544,2866,3745,4524
3968,3502,2906,3855,4553
3968,3502,2906,3855,4553
3968,3502,2906,3855,4553
3947,3479,2930,3895,4565
3947,3479,2930,3895,4565
3947,3479,2930,3895,4565
3879,3439,2968,3970,4573
3879,3439,2968,3970,4573
3926,3470,2965,3964,4572
3926,3470,2965,3964,4572
3926,3470,2965,3964,4572
4070,3578,2953,3895,4568
4070,3578,2953,3895,4568
4070,3578,2953,3895,4568
4154,3633,2940,3834,4550
4154,3633,2940,3834,4550
4154,3633,2940,3834,4550
4237,3713,2932,3787,4538
4237,3713,2932,3787,4538
4237,3713,2932,3787,4538
4301,3768,2950,3791,4539
4301,3768,2950,3791,4539
4374,3933,2994,3799,4556
4374,3933,2994,3799,4556
4374,3933,2994,3799,4556
4385,3972,3022,3826,4563
4385,3972,3022,3826,4563
4385,3972,3022,3826,4563
4354,3941,2989,3790,4562
4354,3941,2989,3790,4562
4354,3941,2989,3790,4562
4294,3862,2955,3766,4555
4294,3862,2955,3766,4555
4123,3818,2854,3600,4539
4123,3818,2854,3600,4539
4123,3818,2854,3600,4539
4039,3888,2823,3419,4518
4039,3888,2823,3419,4518
4039,3888,2823,3419,4518
4009,3998,2877,3327,4512
4009,3998,2877,3327,4512
4009,3998,2877,3327,4512
3986,4047,2916,3282,4510
3986,4047,2916,3282,4510
3988,4081,2960,3270,4508
3988,4081,2960,3270,4508
3988,4081,2960,3270,4508
3999,4103,2968,3270,4514
3999,4103,2968,3270,4514
3999,4103,2968,3270,4514
4012,4097,2958,3296,4514
4012,4097,2958,3296,4514
4115,4058,2919,3411,4533
4115,4058,2919,3411,4533
4115,4058,2919,3411,4533
