s0,s1,s2,s3,s4
1436,3338,3761,2857,1919
1527,3358,3728,2799,1839
1527,3358,3728,2799,1839
1540,3371,3731,2792,1824
1540,3371,3731,2792,1824
1540,3371,3731,2792,1824
1520,3358,3732,2796,1840
1520,3358,3732,2796,1840
1520,3358,3732,2796,1840
1433,3330,3745,2837,1901
1433,3330,3745,2837,1901
1433,3330,3745,2837,1901
1392,3322,3745,2848,1920
1392,3322,3745,2848,1920
1392,3322,3745,2848,1920
1362,3305,3748,2864,1940
1362,3305,3748,2864,1940
1288,3280,3750,2887,1974
1288,3280,3750,2887,1974
1288,3280,3750,2887,1974
0,3172,3731,2937,2070
0,3172,3731,2937,2070
0,3172,3731,2937,2070
0,3167,3730,2940,2078
0,3167,3730,2940,2078
0,3201,3730,2930,2051
0,3201,3730,2930,2051
0,3201,3730,2930,2051
0,3239,3749,2913,2028
0,3239,3749,2913,2028
0,3239,3749,2913,2028
0,3250,3757,2913,2015
0,3250,3757,2913,2015
0,3250,3757,2913,2015
1361,3315,3774,2894,1972
1361,3315,3774,2894,1972
1361,3315,3774,2894,1972
1596,3467,3866,2914,1936
1596,3467,3866,2914,1936
1559,3442,3860,2922,1964
1559,3442,3860,2922,1964
1559,3442,3860,2922,1964
1525,3423,3868,2941,1986
1525,3423,3868,2941,1986
1525,3423,3868,2941,1986
1520,3432,3871,2951,1991
1520,3432,3871,2951,1991
1499,3417,3870,2951,1994
1499,3417,3870,2951,1994
1499,3417,3870,2951,1994
1501,3416,3860,2944,1989
1501,3416,3860,2944,1989
1501,3416,3860,2944,1989
1513,3416,3857,2928,1977
1513,3416,3857,2928,1977
1513,3416,3857,2928,1977
1511,3415,3858,2930,1976
1511,3415,3858,2930,1976
1505,3420,3858,2935,1974
1505,3420,3858,2935,1974
1505,3420,3858,2935,1974
1507,3418,3858,2930,1976
1507,3418,3858,2930,1976
1507,3418,3858,2930,1976
1510,3416,3858,2937,1974
1510,3416,3858,2937,1974
1510,3416,3858,2937,1974
1518,3420,3858,2933,1983
1518,3420,3858,2933,1983
1515,3416,3857,2931,1979
1515,3416,3857,2931,1979
1515,3416,3857,2931,1979
1508,3419,3857,2931,1979
1508,3419,3857,2931,1979
1508,3419,3857,2931,1979
1514,3420,3858,2935,1984
1514,3420,3858,2935,1984
1514,3420,3858,2935,1984
1512,3422,3860,2932,1982
1512,3422,3860,2932,1982
1518,3420,3858,2935,1986
1518,3420,3858,2935,1986
1518,3420,3858,2935,1986
1517,3416,3855,2929,1980
1517,3416,3855,2929,1980
1517,3416,3855,2929,1980
1514,3416,3860,2932,1982
1514,3416,3860,2932,1982
1514,3416,3860,2932,1982
1516,3418,3857,2932,1980
1516,3418,3857,2932,1980
1516,3418,3857,2932,1980
1513,3415,3855,2932,1980
1513,3415,3855,2932,1980
1523,3417,3857,2935,1985
1523,3417,3857,2935,1985
1523,3417,3857,2935,1985
1521,3419,3855,2932,1984
1521,3419,3855,2932,1984
1521,3419,3855,2932,1984
1517,3418,3860,2935,1982
1517,3418,3860,2935,1982
1511,3416,3860,2931,1986
1511,3416,3860,2931,1986
1511,3416,3860,2931,1986
1515,3419,3862,2935,1982
1515,3419,3862,2935,1982
1515,3419,3862,2935,1982
1512,3422,3860,2935,1978
1512,3422,3860,2935,1978
1512,3422,3860,2935,1978
1511,3426,3856,2934,1982
1511,3426,3856,2934,1982
1514,3419,3858,2935,1985
1514,3419,3858,2935,1985
1514,3419,3858,2935,1985
1509,3417,3860,2933,1978
1509,3417,3860,2933,1978
1509,3417,3860,2933,1978
1511,3412,3849,2929,1976
1511,3412,3849,2929,1976
1511,3412,3849,2929,1976
1521,3420,3860,2934,1984
1521,3420,3860,2934,1984
1518,3416,3858,2930,1984
1518,3416,3858,2930,1984
1518,3416,3858,2930,1984
1518,3421,3860,2935,1982
1518,3421,3860,2935,1982
1518,3421,3860,2935,1982
1518,3417,3858,2932,1980
1518,3417,3858,2932,1980
1518,3417,3858,2932,1980
1516,3418,3860,2932,1980
1516,3418,3860,2932,1980
1516,3422,3861,2933,1982
1516,3422,3861,2933,1982
1516,3422,3861,2933,1982
1515,3419,3860,2933,1982
1515,3419,3860,2933,1982
1515,3419,3860,2933,1982
1510,3419,3859,2932,1976
1510,3419,3859,2932,1976
1514,3415,3858,2932,1980
1514,3415,3858,2932,1980
1514,3415,3858,2932,1980
1512,3417,3858,2930,1980
1512,3417,3858,2930,1980
1512,3417,3858,2930,1980
1522,3418,3858,2937,1986
1522,3418,3858,2937,1986
1521,3420,3859,2935,1986
1521,3420,3859,2935,1986
1521,3420,3859,2935,1986
1512,3419,3854,2931,1982
1512,3419,3854,2931,1982
1512,3419,3854,2931,1982
1515,3421,3860,2932,1980
1515,3421,3860,2932,1980
1515,3421,3860,2932,1980
1514,3417,3853,2935,1984
1514,3417,3853,2935,1984
1515,3419,3861,2935,1985
1515,3419,3861,2935,1985
1515,3419,3861,2935,1985
1517,3420,3857,2936,1985
1517,3420,3857,2936,1985
1517,3420,3857,2936,1985
1514,3417,3856,2931,1984
1514,3417,3856,2931,1984
1514,3417,3856,2931,1984
1514,3418,3859,2932,1982
1514,3418,3859,2932,1982
1514,3418,3859,2932,1982
1512,3418,3859,2934,1980
1512,3418,3859,2934,1980
1522,3419,3859,2935,1988
1522,3419,3859,2935,1988
1522,3419,3859,2935,1988
1519,3418,3857,2933,1986
1519,3418,3857,2933,1986
1519,3418,3857,2933,1986
1518,3418,3857,2935,1980
1518,3418,3857,2935,1980
1518,3418,3857,2935,1980
1517,3422,3860,2937,1983
1517,3422,3860,2937,1983
1519,3419,3860,2935,1984
1519,3419,3860,2935,1984
1519,3419,3860,2935,1984
1512,3419,3856,2928,1977
1512,3419,3856,2928,1977
1512,3419,3856,2928,1977
1517,3416,3858,2929,1982
1517,3416,3858,2929,1982
1517,3416,3858,2929,1982
1521,3416,3853,2930,1980
1521,3416,3853,2930,1980
1523,3417,3855,2933,1982
1523,3417,3855,2933,1982
1523,3417,3855,2933,1982
1514,3416,3854,2933,1978
1514,3416,3854,2933,1978
1514,3416,3854,2933,1978
1523,3418,3856,2930,1982
1523,3418,3856,2930,1982
1523,3418,3856,2930,1982
1521,3419,3849,2935,1983
1521,3419,3849,2935,1983
1520,3417,3850,2932,1980
1520,3417,3850,2932,1980
1520,3417,3850,2932,1980
1524,3419,3853,2939,1984
1524,3419,3853,2939,1984
1524,3419,3853,2939,1984
1523,3420,3853,2928,1972
1523,3420,3853,2928,1972
1523,3420,3853,2928,1972
1537,3432,3858,2937,1978
1537,3432,3858,2937,1978
1540,3435,3861,2933,1973
1540,3435,3861,2933,1973
1540,3435,3861,2933,1973
1542,3434,3863,2932,1975
1542,3434,3863,2932,1975
1542,3434,3863,2932,1975
1550,3440,3869,2936,1977
1550,3440,3869,2936,1977
1550,3440,3869,2936,1977
1547,3444,3872,2938,1976
1547,3444,3872,2938,1976
1568,3454,3879,2946,1990
1568,3454,3879,2946,1990
1568,3456,3885,2946,1986
1568,3456,3885,2946,1986
1568,3456,3885,2946,1986
1568,3459,3887,2956,1993
1568,3459,3887,2956,1993
1568,3459,3887,2956,1993
1568,3467,3899,2965,1997
1568,3467,3899,2965,1997
1568,3467,3899,2965,1997
1571,3469,3898,2961,1992
1571,3469,3898,2961,1992
1571,3469,3898,2961,1992
1565,3468,3894,2960,1995
1565,3468,3894,2960,1995
1563,3457,3888,2955,1995
1563,3457,3888,2955,1995
