s0,s1,s2,s3,s4
0,1502,4581,1431,0
0,1502,4581,1431,0
0,1502,4581,1431,0
0,1499,4582,1429,0
0,1499,4582,1429,0
0,1499,4582,1429,0
0,1498,4576,1435,0
0,1498,4576,1435,0
0,1498,4576,1435,0
0,1498,4580,1435,0
0,1498,4580,1435,0
0,1498,4580,1435,0
0,1508,4580,1433,0
0,1508,4580,1433,0
0,1515,4575,1434,0
0,1515,4575,1434,0
0,1515,4575,1434,0
0,1501,4578,1437,0
0,1501,4578,1437,0
0,1501,4578,1437,0
0,1497,4578,1437,0
0,1497,4578,1437,0
0,1510,4575,1443,0
0,1510,4575,1443,0
0,1510,4575,1443,0
0,1498,4581,1434,0
0,1498,4581,1434,0
0,1498,4581,1434,0
0,1501,4579,1432,0
0,1501,4579,1432,0
0,1500,4578,1440,0
0,1502,4578,1431,0
0,1502,4578,1431,0
0,1502,4578,1431,0
0,1506,4578,1437,0
0,1506,4578,1437,0
0,1506,4578,1437,0
0,1495,4578,1437,0
0,1495,4578,1437,0
0,1496,4575,1436,0
0,1496,4575,1436,0
0,1496,4575,1436,0
0,1511,4582,1439,0
0,1511,4582,1439,0
0,1511,4582,1439,0
0,1509,4580,1439,0
0,1509,4580,1439,0
0,1509,4580,1439,0
0,1504,4577,1435,0
0,1504,4577,1435,0
0,1504,4577,1435,0
0,1509,4576,1439,0
0,1509,4576,1439,0
0,1510,4579,1437,0
0,1510,4579,1437,0
0,1510,4579,1437,0
0,1501,4578,1434,0
0,1501,4578,1434,0
0,1501,4578,1434,0
0,1497,4578,1435,0
0,1497,4578,1435,0
0,1497,4578,1435,0
0,1510,4580,1439,0
0,1510,4580,1439,0
0,1495,4581,1434,0
0,1495,4581,1434,0
0,1495,4581,1434,0
0,1507,4576,1440,0
0,1507,4576,1440,0
0,1507,4576,1440,0
0,1498,4580,1437,0
0,1498,4580,1437,0
0,1498,4580,1437,0
0,1493,4579,1432,0
0,1493,4579,1432,0
0,1502,4577,1435,0
0,1502,4577,1435,0
0,1502,4577,1435,0
0,1512,4580,1434,0
0,1512,4580,1434,0
0,1512,4580,1434,0
0,1502,4578,1431,0
0,1502,4578,1431,0
0,1511,4580,1432,0
0,1511,4580,1432,0
0,1511,4580,1432,0
0,1497,4580,1438,0
0,1497,4580,1438,0
0,1497,4580,1438,0
0,1498,4578,1440,0
0,1498,4578,1440,0
0,1498,4578,1440,0
0,1512,4579,1441,0
0,1512,4579,1441,0
0,1511,4576,1438,0
0,1511,4576,1438,0
0,1511,4576,1438,0
0,1515,4583,1436,0
0,1515,4583,1436,0
0,1515,4583,1436,0
0,1497,4575,1432,0
0,1497,4575,1432,0
0,1511,4573,1433,0
0,1511,4573,1433,0
0,1511,4573,1433,0
0,1500,4581,1436,0
0,1500,4581,1436,0
0,1500,4581,1436,0
